region,category,domain,dnssec_apex,dkim_selector,dkim_kind,dkim_validated
US,gov-census,pscr.gov,signed,none,none,na
US,gov-census,selectusa.gov,signed,none,none,na
US,gov-census,spectrum.gov,signed,selector1,cname,no
US,gov-census,semiconductors.gov,signed,none,none,na
US,gov-census,papahanaumokuakea.gov,signed,none,none,na
US,gov-census,sdr.gov,signed,none,none,na
US,gov-census,spd15revision.gov,signed,none,none,na
US,gov-census,stopfakes.gov,signed,none,none,na
US,gov-census,icams-portal.gov,unsigned,none,none,na
US,gov-census,tasefiling.gov,signed,none,none,na
US,gov-census,trade.gov,unsigned,selector1,cname,no
US,gov-census,spaceweather.gov,signed,none,none,na
US,gov-census,standards.gov,signed,none,none,na
US,gov-census,techhubs.gov,signed,none,none,na
US,gov-census,time.gov,signed,none,none,na
US,gov-census,tsunami.gov,signed,none,none,na
US,gov-census,weather.gov,signed,none,none,na
US,gov-census,trumpgoldcard.gov,unsigned,none,none,na
US,gov-census,uspto.gov,signed,selector1,cname,no
US,gov-census,wwtg.gov,signed,none,none,na
US,gov-census,sworm.gov,signed,none,none,na
US,gov-census,usicecenter.gov,signed,none,none,na
US,gov-census,blueroof.gov,signed,none,none,na
US,gov-census,xd.gov,signed,none,none,na
US,gov-census,tracss.gov,signed,none,none,na
US,gov-census,aftac.gov,unsigned,none,none,na
US,gov-census,cmts.gov,unsigned,selector1,cname,no
US,gov-census,cttso.gov,unsigned,selector1,cname,no
US,gov-census,defense.gov,unsigned,google,direct,no
US,gov-census,adlnet.gov,unsigned,none,none,na
US,gov-census,cnss.gov,signed,none,none,na
US,gov-census,bosque.gov,unsigned,none,none,na
US,gov-census,dc3on.gov,signed,none,none,na
US,gov-census,fvap.gov,signed,none,none,na
US,gov-census,ehr.gov,unsigned,none,none,na
US,gov-census,altusandc.gov,unsigned,none,none,na
US,gov-census,iwtsd.gov,unsigned,selector1,cname,no
US,gov-census,iad.gov,signed,none,none,na
US,gov-census,intelligencecareers.gov,signed,none,none,na
US,gov-census,doddns.gov,unsigned,none,none,na
US,gov-census,mds.gov,unsigned,none,none,na
US,gov-census,ecs.gov,unsigned,none,none,na
US,gov-census,capnhq.gov,unsigned,selector1,cname,no
US,gov-census,nationalresourcedirectory.gov,signed,none,none,na
US,gov-census,lps.gov,signed,none,none,na
US,gov-census,jccs.gov,signed,none,none,na
US,gov-census,fehrm.gov,unsigned,none,none,na
US,gov-census,businessdefense.gov,signed,none,none,na
US,gov-census,ioss.gov,unsigned,none,none,na
US,gov-census,cap.gov,unsigned,none,none,na
US,gov-census,mtmc.gov,unsigned,none,none,na
US,gov-census,tak.gov,signed,selector1,cname,no
US,gov-census,nro.gov,unsigned,selector1,cname,no
US,gov-census,nsep.gov,unsigned,mail,direct,no
US,gov-census,nsa.gov,unsigned,none,none,na
US,gov-census,soarc.gov,unsigned,none,none,na
US,gov-census,hive.gov,unsigned,none,none,na
US,gov-census,tswg.gov,unsigned,none,none,na
US,gov-census,war.gov,signed,none,none,na
US,gov-census,childstats.gov,signed,none,none,na
US,gov-census,nrd.gov,signed,none,none,na
US,gov-census,ed.gov,signed,selector1,cname,no
US,gov-census,collegenavigator.gov,signed,none,none,na
US,gov-census,fafsa.gov,signed,none,none,na
US,gov-census,foreignfundinghighered.gov,signed,none,none,na
US,gov-census,g5.gov,signed,none,none,na
US,gov-census,nagb.gov,signed,none,none,na
US,gov-census,studentaid.gov,signed,none,none,na
US,gov-census,studentloans.gov,signed,none,none,na
US,gov-census,usandc.gov,unsigned,none,none,na
US,gov-census,nationsreportcard.gov,signed,none,none,na
US,gov-census,oneaftac.gov,signed,none,none,na
US,gov-census,anl.gov,signed,selector1,cname,no
US,gov-census,ameslab.gov,signed,google,direct,yes
US,gov-census,biomassboard.gov,signed,none,none,na
US,gov-census,arm.gov,signed,none,none,na
US,gov-census,bnl.gov,unsigned,none,none,na
US,gov-census,casl.gov,signed,none,none,na
US,gov-census,doe.gov,signed,selector1,cname,no
US,gov-census,cendi.gov,signed,none,none,na
US,gov-census,bpa.gov,signed,selector1,cname,no
US,gov-census,cebaf.gov,signed,default,direct,yes
US,gov-census,budgetlob.gov,unsigned,none,none,na
US,gov-census,citap.gov,signed,none,none,na
US,gov-census,energy.gov,signed,selector1,cname,no
US,gov-census,eia.gov,signed,selector2,cname,no
US,gov-census,driveelectric.gov,signed,selector1,cname,no
US,gov-census,energycodes.gov,unsigned,selector1,cname,no
US,gov-census,fnal.gov,signed,selector1,cname,no
US,gov-census,ukraineoversight.gov,unsigned,none,none,na
US,gov-census,inl.gov,signed,selector1,cname,no
US,gov-census,energysaver.gov,signed,none,none,na
US,gov-census,hanford.gov,signed,selector1,cname,no
US,gov-census,energysavers.gov,signed,none,none,na
US,gov-census,fueleconomy.gov,signed,none,none,na
US,gov-census,homeenergyscore.gov,signed,none,none,na
US,gov-census,inel.gov,signed,none,none,na
US,gov-census,hydrogen.gov,signed,none,none,na
US,gov-census,usgovdod.gov,unsigned,none,none,na
US,gov-census,lbl.gov,signed,google,direct,yes
US,gov-census,isotope.gov,signed,none,none,na
US,gov-census,lanl.gov,signed,none,none,na
US,gov-census,isotopes.gov,signed,none,none,na
US,gov-census,nccs.gov,signed,none,none,na
US,gov-census,llnl.gov,unsigned,none,none,na
US,gov-census,neup.gov,signed,none,none,na
US,gov-census,ncrc.gov,signed,none,none,na
